date,time,DOY,ALB_1_1_1,CHK__1_1_1,DAQM_T_1_1_1,VIN_1_1_1,DRM_POWER_STATUS_1_1_1,DRM_V_BATTERY_1_1_1,DRM_V_MAIN_1_1_1,LWIN_1_1_1,LWOUT_1_1_1,PPFD_1_1_1,P_RAIN_1_1_1,RH_1_1_1,RN_1_1_1,SHF_1_1_1,SHF_2_1_1,SHF_3_1_1,SWC_1_1_1,SWC_2_1_1,SWC_3_1_1,SWIN_1_1_1,SWOUT_1_1_1,TA_1_1_1,TNR_C_1_1_1,TS_1_1_1,TS_2_1_1,TS_3_1_1
[yyyy-mm-dd],[HH:MM],[ddd.ddd],[%],[OTHER],[C],[V],[OTHER],[V],[V],[W/m^2],[W/m^2],[µmol/m^2/s],[m],[%],[W/m^2],[W/m^2],[W/m^2],[W/m^2],[m^3/m^3],[m^3/m^3],[m^3/m^3],[W/m^2],[W/m^2],[K],[C],[K],[K],[K]
2024-01-01,00:30,1.0208,0.595255,121.167,27.3060,12.2405,15.0000,12.4653,25.6863,424.811,434.927,0.328763E-02,0.00000,93.0323,-11.0027,-4.72344,-2.84845,-8.65860,0.357100,-9999,-9999,-2.34089,-1.45484,296.174,24.0483,298.850,-9999,-9999
2024-01-01,01:00,1.0416,-0.308484,122.933,27.2745,12.2417,15.0000,12.4666,25.6723,420.329,432.007,0.369926E-02,0.00000,90.7073,-12.6048,-4.43813,-2.63600,-8.21371,0.357000,-9999,-9999,-0.848174,0.781447E-01,296.104,22.7383,298.750,-9999,-9999
2024-01-01,01:30,1.0624,-0.935199,123.667,27.2221,12.2414,15.0000,12.4663,25.6544,418.666,430.956,0.369222E-02,0.00000,89.5831,-13.2695,-4.25638,-2.58625,-8.22940,0.357000,-9999,-9999,-0.753493,0.226790,296.105,22.5449,298.750,-9999,-9999
2024-01-01,02:00,1.0833,-0.186027,126.467,27.1008,12.2415,15.0000,12.4667,25.6352,413.862,429.697,0.438739E-02,0.00000,94.0555,-17.2044,-4.19665,-2.61871,-8.42973,0.357000,-9999,-9999,-1.16131,0.207589,295.638,22.1560,298.750,-9999,-9999
2024-01-01,02:30,1.1041,0.898700,131.600,26.9083,12.2415,15.0000,12.4663,25.6201,417.586,429.568,0.349236E-02,0.00000,95.6912,-12.9517,-4.21092,-2.75432,-8.71602,0.357000,-9999,-9999,-0.448747,0.521203,295.453,21.9023,298.750,-9999,-9999
2024-01-01,03:00,1.1249,-2.71420,100.833,26.8888,12.2414,15.0000,12.4661,25.6012,422.637,430.929,0.306123E-02,0.00000,95.5337,-9.03763,-4.27771,-2.89263,-8.85173,0.357000,-9999,-9999,-0.307234,0.437819,295.561,22.0196,298.750,-9999,-9999
2024-01-01,03:30,1.1458,-0.664509,104.400,26.9224,12.2414,15.0000,12.4661,25.5827,418.499,430.456,0.311919E-02,0.00000,96.4064,-12.9675,-4.31818,-2.87598,-8.62091,0.357067,-9999,-9999,-0.627767,0.382818,295.480,22.0107,298.750,-9999,-9999
2024-01-01,04:00,1.1666,2.09416,131.633,26.8362,12.2416,15.0000,12.4651,25.5678,412.716,429.067,0.340841E-02,0.00000,95.8325,-17.7631,-4.29139,-2.86620,-8.54310,0.357367,-9999,-9999,-0.688007,0.724410,295.429,21.8693,298.750,-9999,-9999
2024-01-01,04:30,1.1874,-1.00979,114.367,26.7359,12.2416,15.0000,12.4651,25.5533,410.316,428.019,0.381056E-02,0.00000,92.9478,-19.1745,-4.28192,-2.98951,-8.55697,0.357767,-9999,-9999,-0.886795,0.584707,295.516,21.8315,298.750,-9999,-9999
2024-01-01,05:00,1.2082,-1.10745,115.600,26.6554,12.2412,15.0000,12.4651,25.5400,412.553,427.740,0.409058E-02,0.00000,92.9906,-16.3220,-4.33590,-3.17648,-8.80345,0.358000,-9999,-9999,-0.484780,0.650131,295.371,21.7025,298.750,-9999,-9999
2024-01-01,05:30,1.2291,-0.919836,116.467,26.5974,12.2416,15.0000,12.4646,25.5236,417.824,428.232,0.408923E-02,0.00000,95.5691,-11.3210,-4.45181,-3.35896,-9.04298,0.358000,-9999,-9999,-0.496819,0.415792,295.212,21.6395,298.750,-9999,-9999
